Zones,Location,Machine types
us-central1-a,"Council Bluffs, Iowa, North America","E2, N4, N2 , N2D, N1, C4 , C4A, C4D, C3 , C3D, T2D, T2A"
us-central1-b,"Council Bluffs, Iowa, North America","E2, N4, N2 , N2D, N1, C4 , C4A, C4D, C3 , C3D"
us-central1-c,"Council Bluffs, Iowa, North America","E2, N4, N2 , N2D, N1, C4 , C4A, C4D, C3 , C3D, T2D"
us-central1-f,"Council Bluffs, Iowa, North America","E2, N4, N2 , N2D, N1, C4 , C3 , C3D, T2D, T2A"
us-east1-b,"Moncks Corner, South Carolina, North America","E2, N4, N2 , N2D, N1, C4 , C4A, C4D, C3 , C3D, T2D"
us-east1-c,"Moncks Corner, South Carolina, North America","E2, N4, N2 , N2D, N1, C4 , C4A, C4D, C3 , C3D, T2D"
us-east1-d,"Moncks Corner, South Carolina, North America","E2, N4, N2 , N2D, N1, C4 , C4A, C4D, C3 , C3D, T2D"
us-east4-a,"Ashburn, Virginia, North America","E2, N4, N2 , N2D, N1, C4 , C4A, C4D, C3 , C3D, T2D"
us-east4-b,"Ashburn, Virginia, North America","E2, N4, N2 , N2D, N1, C4 , C4A, C4D, C3 , C3D, T2D"
us-east4-c,"Ashburn, Virginia, North America","E2, N4, N2 , N2D, N1, C4 , C4A, C4D, C3 , C3D, T2D"
us-east5-a,"Columbus, Ohio, North America","E2, N4, N2 , N2D, C4 , C3 , T2D"
us-east5-b,"Columbus, Ohio, North America","E2, N4, N2 , N2D, C4 , C3 , C3D, T2D"
us-east5-c,"Columbus, Ohio, North America","E2, N2 , N2D, C4 , C3 , T2D"
us-south1-a,"Dallas, Texas, North America","E2, N4, N2 , N2D, C4 , C3 , T2D"
us-south1-b,"Dallas, Texas, North America","E2, N4, N2 , C3 , A3"
us-south1-c,"Dallas, Texas, North America","E2, N2 , N2D, T2D"
us-west1-a,"The Dalles, Oregon, North America","E2, N4, N2 , N2D, N1, C4 , C4A, C4D, C3 , C3D, T2D"
us-west1-b,"The Dalles, Oregon, North America","E2, N2 , N2D, N1, C4 , C4D, C3 , C3D, T2D"
us-west1-c,"The Dalles, Oregon, North America","E2, N2 , N2D, N1, C4 , C4A, T2D"
us-west2-a,"Los Angeles, California, North America","E2, N2 , N2D, N1, C4 , C3 , C3D, T2D"
us-west2-b,"Los Angeles, California, North America","E2, N2 , N2D, N1, C3 , T2D"
us-west2-c,"Los Angeles, California, North America","E2, N2 , N2D, N1, C4 , C3"
us-west3-a,"Salt Lake City, Utah, North America","E2, N4, N2 , N2D, N1, C4 , C3 , T2D"
us-west3-b,"Salt Lake City, Utah, North America","E2, N4, N2 , N2D, N1, C4 , T2D"
us-west3-c,"Salt Lake City, Utah, North America","E2, N2 , N2D, N1, C3 , T2D"
us-west4-a,"Las Vegas, Nevada, North America","E2, N2 , N2D, N1, C4 , C4A, C4D, C3 , C3D, T2D"
us-west4-b,"Las Vegas, Nevada, North America","E2, N2 , N2D, N1, C4 , C4A, C4D, C3 , T2D"
us-west4-c,"Las Vegas, Nevada, North America","E2, N2 , N2D, N1, C4A, C3 , T2D"
